DESCRIPTION1,DESCRIPTION2,DESCRIPTION3,ID,SHM_KRN,SHM_HEVRA_MENAHELET,TAARICH_HAFAKAT_HADOCH,SUG_KRN,SHM_TAAGID_SHOLET,SUG_TAAGID_SHOLET,MI_TKUFAT_DIVUACH,AD_TKUFAT_DIVUACH,HAFKADOT_LLO_HAAVAROT,MSHICHOT_LLO_HAAVAROT,HAAVAROT_BEIN_HAKRANOT,TZVIRA_NETO,YITRAT_NCHASIM_LSOF_TKUFA,SHIUR_DMEI_NIHUL_AHARON,TSUA_MEMUZAAT_LETKUFA,TSUA_MITZTABERET_LETKUFA,TSUA_MEMUZAAT_36_HODASHIM,TSUA_MEMUZAAT_60_HODASHIM,TSUA_MITZTABERET_36_HODASHIM,TSUA_MITZTABERET_60_HODASHIM,TSUA_SHNATIT_MEMUZAAT_3_SHANIM,TSUA_SHNATIT_MEMUZAAT_5_SHANIM,STIAT_TEKEN_36_HODASHIM,STIAT_TEKEN_60_HODASHIM,MATZAV_DIVUACH,ALPHA_SHNATI,BETA_TA100,BETA_AGACH_KONTZERNIOT_TZMUDOT,BETA_AGACH_MEM_LO_TZMUDOT,BETA_AGACH_MEMSHALTIOT_TZMUDOT,BETA_HUTZ_LAARETZ,R_SQUARED,SHARP_TSUA_HETZYONIT_ANAF,SHARP_TSUA_HETZYONIT_ALL,SHARP_RIBIT_HASRAT_SIKUN,YAHAS_NEZILUT,SHIUR_D_NIHUL_AHARON_HAFKADOT,SHIUR_D_NIHUL_AHARON_NCHASIM,ODEF_GIRAON_ACTUARI_AHARON,YR_ODEF_GIRAON_ACTUARI_AHARON,ODEF_GIRAON_ACTUARI_LETKUFA,TSUA_MEMUZAT_HASHKAOT_HOFSHIOT,NUM_HEVRA,TAARICH_SIUM_PEILUT,ID_MASLUL_RISHUY
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13415,הראל פנסיה עוקב מדד s&p 500,"הראל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ",קבוצות ביטוח,202312,202411,1976.4,209.68,10345.65,12112.37,23094.64,,1.83,24.28,1.12,,49.2,,14.27,,2.39,,דווח,,,,,,,,,,,96.4,,,-0.22,2023,-0.31,2.31,512267592,,13415
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13572,מגדל מקפת אישית עוקב מדד S&P500,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",19/12/2024,קרנות חדשות,"שלמה אליהו אחזקות בע""מ",ישראלית,202312,202411,964.07,53.42,6551.94,7462.59,12985.86,,1.87,24.95,1.13,,49.88,,14.44,,2.25,,דווח,,,,,,,,,,,96.6,,,-0.15,2023,-0.09,2.29,512237744,,13572
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13819,אלטשולר שחם פנסיה מקיפה עוקב מדדי מניות,"אלטשולר שחם גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אלטשולר שחם פיננסים בע""מ",ישראלית,202312,202411,57.76,3.84,651.48,705.4,878.04,,1.57,20.53,,,,,,,,,דווח,,,,,,,,,,,97.1,,,0.26,2023,0.17,1.88,513173393,,13819
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13887,מנורה מבטחים פנסיה עוקב מדד S&P500,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,855.15,224.68,7135.44,7765.91,12441.09,,1.82,24.09,,,,,,,,,דווח,,,,,,,,,,,95.7,,,-0.19,2023,-0.22,2.15,512245812,,13887
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13909,מור פנסיה מקיפה - מסלול לבני 50 ומטה,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,409.29,36.2,1054.17,1427.26,3587.64,,1.39,17.98,,,,,,,,,דווח,,,,,,,,,,,85.3,,,0.19,2023,0.18,1.65,514956465,,13909
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13910,מור פנסיה מקיפה - מסלול לבני 50 עד 60,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,84.85,8.47,732.35,808.73,1588.79,,1.26,16.18,,,,,,,,,דווח,,,,,,,,,,,85.7,,,0.19,2023,0.18,1.48,514956465,,13910
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13911,מור פנסיה מקיפה - מסלול לבני 60 ומעלה,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,32.14,5.21,227.3,254.23,450.02,,0.97,12.25,,,,,,,,,דווח,,,,,,,,,,,85.7,,,0.19,2023,0.18,1.07,514956465,,13911
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13912,מור פנסיה מקיפה - מניות,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,200.73,13.08,585.26,772.91,2172.75,,1.6,20.97,,,,,,,,,דווח,,,,,,,,,,,89.8,,,0.19,2023,0.18,1.96,514956465,,13912
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13913,"מור פנסיה מקיפה - אשראי ואג""ח","מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,0.97,0.15,2.4,3.22,16.86,,0.75,9.32,,,,,,,,,דווח,,,,,,,,,,,79.7,,,0.19,2023,0.18,0.76,514956465,,13913
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13914,מור פנסיה מקיפה - כספי (שקלי),"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,1.08,0.06,5,6.02,12.08,,0.44,5.39,,,,,,,,,דווח,,,,,,,,,,,96.6,,,0.19,2023,0.18,0.32,514956465,,13914
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13915,מור פנסיה מקיפה - עוקב מדדי מניות,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,32.77,2.19,189.84,220.42,345.28,,1.46,19.06,,,,,,,,,דווח,,,,,,,,,,,94.3,,,0.19,2023,0.18,1.74,514956465,,13915
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,13916,מור פנסיה מקיפה - מסלול בסיסי למקבלי קצבה,"מור גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"י.ד מור השקעות בע""מ",ישראלית,202312,202411,0,27.13,111.75,84.62,121.4,,0.77,9.7,,,,,,,,,דווח,,,,,,,,,,,90.3,,,0.19,2023,0.18,0.95,514956465,,13916
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14037,אינפיניטי מקיפה  מסלול לבני 50 ומטה,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,79.47,23.13,121.32,177.66,240.55,,1.42,18.39,,,,,,,,,דווח,,,,,,,,,,,93.7,,,0.77,2023,0.96,1.7,513621110,,14037
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14038,אינפיניטי מקיפה מסלול לבני 50 עד 60,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,11.39,8.11,53.33,56.61,70.72,,1.26,16.27,,,,,,,,,דווח,,,,,,,,,,,93.9,,,0.77,2023,0.96,1.48,513621110,,14038
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14039,אינפיניטי מקיפה מסלול לבני 60 ומעלה,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,14.14,8.7,34.74,40.18,49.86,,1.06,13.49,,,,,,,,,דווח,,,,,,,,,,,93.5,,,0.77,2023,0.96,1.2,513621110,,14039
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14040,אינפיניטי מקיפה עוקב מדדי מניות,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,1.66,2.22,11.44,10.88,19.04,,1.56,20.35,,,,,,,,,דווח,,,,,,,,,,,97.1,,,0.77,2023,0.96,1.87,513621110,,14040
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,14042,אינפיניטי מקיפה הלכה,"אינפיניטי השתלמות, גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"אינפיניטי ניהול תיקי השקעות (בישראל ובעולם) בע""מ",גופים פרטיים,202312,202411,2.15,3.98,19.83,18,23.91,,1.34,17.34,,,,,,,,,דווח,,,,,,,,,,,97,,,0.77,2023,0.96,1.57,513621110,,14042
